rosbagTimestamp,data
1513684686080741078,"""17.26.45"""
1513684687084157434,"""17.26.46"""
1513684688083726167,"""17.26.47"""
1513684689083084449,"""17.26.48"""
1513684690086714543,"""17.26.49"""
1513684691086392994,"""17.26.50"""
1513684692086188133,"""17.26.51"""
1513684693089378114,"""17.26.52"""
1513684694088912493,"""17.26.53"""
1513684695091889213,"""17.26.54"""
1513684696091990777,"""17.26.55"""
1513684697091536555,"""17.26.56"""
1513684698094942559,"""17.26.57"""
1513684699093983321,"""17.26.58"""
1513684700093894420,"""17.26.59"""
1513684701096978952,"""17.27.00"""
1513684702096588658,"""17.27.01"""
1513684703096788505,"""17.27.02"""
1513684704099569255,"""17.27.03"""
1513684705099791565,"""17.27.04"""
1513684706103303605,"""17.27.05"""
1513684707102755066,"""17.27.06"""
1513684708103451692,"""17.27.07"""
1513684709105934155,"""17.27.08"""
1513684710105296464,"""17.27.09"""
1513684711105354492,"""17.27.10"""
1513684712108508651,"""17.27.11"""
1513684713108033209,"""17.27.12"""
1513684714111389281,"""17.27.13"""
1513684715110473237,"""17.27.14"""
1513684716109952846,"""17.27.15"""
